cath_id,count
2.30.30.870,3
3.30.70.640,2
3.40.50.11500,6
1.10.1410.10,3
3.30.40.210,1
3.90.45.10,1
6.10.140.1090,1
2.30.30.10,5
2.30.30.490,7
3.90.120.10,1
2.60.40.2240,4
3.30.900.20,1
3.40.570.10,2
1.10.10.400,6
1.10.150.910,2
3.30.2380.10,1
1.20.58.380,4
1.25.40.40,10
1.10.10.1320,1
3.40.50.10380,1
1.10.10.1970,1
3.40.30.150,2
2.40.50.550,2
3.40.20.10,44
6.10.250.3010,1
1.20.58.290,10
3.30.390.30,6
6.10.140.760,1
3.30.110.80,3
1.20.5.1000,2
1.10.10.200,2
2.30.30.70,1
3.30.460.40,2
1.10.238.230,1
1.10.238.220,1
3.30.1250.10,1
1.10.10.900,1
3.30.70.400,1
6.10.250.2060,1
3.40.1350.10,5
1.10.12.40,6
3.60.10.10,8
2.60.40.680,5
2.170.220.10,2
3.90.740.10,5
1.10.730.10,8
2.170.130.30,3
3.40.50.450,10
1.10.150.690,3
6.10.140.1450,3
1.20.120.880,1
1.10.10.1730,2
3.10.450.460,1
1.10.8.930,1
1.10.1580.10,2
1.20.120.980,2
1.10.10.1050,2
3.90.940.20,1
1.20.1080.10,5
1.10.437.10,5
1.10.287.500,3
4.10.400.10,3
1.10.8.460,2
1.20.58.1310,1
1.25.40.840,2
1.20.120.140,4
3.40.1010.20,3
3.30.530.50,2
3.30.70.2620,3
1.20.120.900,2
2.70.130.10,12
2.30.29.170,3
1.10.246.20,2
1.20.120.420,1
3.30.450.270,1
3.30.70.2470,4
6.10.250.3290,4
3.30.740.10,3
6.10.250.560,2
3.40.1810.10,6
2.30.30.770,1
1.20.5.690,1
2.40.128.30,7
2.60.40.200,4
1.20.58.770,1
1.10.10.930,4
3.40.50.10860,9
2.60.40.1220,10
2.60.40.3010,2
6.10.250.2560,11
3.30.750.130,4
3.30.70.2430,1
3.30.70.2610,1
2.60.120.1340,1
3.30.900.10,4
1.20.5.2620,3
1.10.10.500,2
3.30.200.40,1
3.30.70.1820,3
3.30.250.20,4
2.60.40.1700,5
1.20.1510.10,1
3.30.1360.180,6
2.20.28.160,1
1.10.238.150,1
3.30.1140.32,1
6.10.250.410,8
2.20.130.10,5
2.60.40.1090,3
1.25.40.790,3
3.30.1360.210,4
1.10.418.40,2
6.10.250.1330,1
1.10.720.40,3
2.20.25.570,1
6.10.140.1300,2
1.10.287.1080,4
3.40.1800.30,2
1.10.10.2200,4
2.60.40.2410,2
6.10.250.160,3
6.20.50.20,1
1.10.287.1040,4
1.20.930.20,3
1.20.1050.130,1
3.90.800.10,2
3.30.110.30,1
6.10.280.20,3
3.30.450.260,3
3.40.50.12610,6
2.30.29.160,2
3.40.50.11980,7
1.10.8.20,8
3.30.70.2750,1
1.20.1300.20,1
1.25.40.540,7
6.10.250.770,2
1.10.100.10,1
2.20.110.10,3
4.10.220.40,3
1.10.3050.10,1
1.25.40.470,2
6.10.250.1530,2
1.10.220.60,3
3.90.176.10,1
3.90.1200.10,5
3.40.50.12360,1
3.40.50.10890,3
1.10.150.40,2
3.30.9.90,1
3.30.70.20,2
3.30.370.10,1
2.30.30.360,2
2.40.50.960,1
1.20.120.1200,1
2.60.40.1840,3
3.20.20.330,3
3.90.1230.10,1
3.30.1560.10,2
1.10.1220.150,1
1.10.135.10,3
3.30.590.10,2
3.30.70.1010,1
1.20.5.2710,2
3.30.390.130,4
1.10.246.30,1
1.10.287.3510,3
1.10.8.500,3
2.60.40.3670,2
2.70.40.10,2
1.20.58.1380,4
2.100.10.30,2
1.10.790.10,2
1.10.287.260,1
3.90.660.10,3
1.10.405.10,4
3.30.160.320,1
3.10.150.10,11
2.60.40.1360,1
1.10.10.2240,3
3.40.50.1910,4
3.30.1540.10,2
1.10.246.140,2
6.10.250.2630,1
3.10.290.10,4
